DISTRICT,DATE,COUNT
Barking and Dagenham,2017-01-01,1734
Barking and Dagenham,2017-02-01,1747
Barking and Dagenham,2017-03-01,2029
Barking and Dagenham,2017-04-01,1881
Barking and Dagenham,2017-05-01,2135
Barking and Dagenham,2017-06-01,2080
Barking and Dagenham,2017-07-01,2268
Barking and Dagenham,2017-08-01,2053
Barking and Dagenham,2017-09-01,1942
Barking and Dagenham,2017-10-01,2073
Barking and Dagenham,2017-11-01,1880
Barking and Dagenham,2017-12-01,1704
Barking and Dagenham,2018-01-01,1775
Barking and Dagenham,2018-02-01,1686
Barking and Dagenham,2018-03-01,1899
Barking and Dagenham,2018-04-01,1861
Barking and Dagenham,2018-05-01,1860
Barking and Dagenham,2018-06-01,1944
Barking and Dagenham,2018-07-01,2076
Barking and Dagenham,2018-08-01,1829
Barking and Dagenham,2018-09-01,1795
Barking and Dagenham,2018-10-01,2060
Barking and Dagenham,2018-11-01,1858
Barking and Dagenham,2018-12-01,1814
Barking and Dagenham,2019-01-01,1885
Barking and Dagenham,2019-02-01,1866
Barking and Dagenham,2019-03-01,1966
Barking and Dagenham,2019-04-01,1932
Barking and Dagenham,2019-05-01,2114
Barking and Dagenham,2019-06-01,2035
Barking and Dagenham,2019-07-01,2077
Barking and Dagenham,2019-08-01,1844
Barnet,2017-01-01,2566
Barnet,2017-02-01,2450
Barnet,2017-03-01,2903
Barnet,2017-04-01,2702
Barnet,2017-05-01,2893
Barnet,2017-06-01,2800
Barnet,2017-07-01,3114
Barnet,2017-08-01,2847
Barnet,2017-09-01,2724
Barnet,2017-10-01,2938
Barnet,2017-11-01,2924
Barnet,2017-12-01,2546
Barnet,2018-01-01,2685
Barnet,2018-02-01,2496
Barnet,2018-03-01,2834
Barnet,2018-04-01,2869
Barnet,2018-05-01,2878
Barnet,2018-06-01,2952
Barnet,2018-07-01,3017
Barnet,2018-08-01,2802
Barnet,2018-09-01,2819
Barnet,2018-10-01,3277
Barnet,2018-11-01,3120
Barnet,2018-12-01,2865
Barnet,2019-01-01,2924
Barnet,2019-02-01,3056
Barnet,2019-03-01,3391
Barnet,2019-04-01,3076
Barnet,2019-05-01,3165
Barnet,2019-06-01,3297
Barnet,2019-07-01,3318
Barnet,2019-08-01,2897
Bexley,2017-01-01,1457
Bexley,2017-02-01,1454
Bexley,2017-03-01,1608
Bexley,2017-04-01,1455
Bexley,2017-05-01,1539
Bexley,2017-06-01,1599
Bexley,2017-07-01,1686
Bexley,2017-08-01,1669
Bexley,2017-09-01,1673
Bexley,2017-10-01,1861
Bexley,2017-11-01,1640
Bexley,2017-12-01,1429
Bexley,2018-01-01,1589
Bexley,2018-02-01,1354
Bexley,2018-03-01,1491
Bexley,2018-04-01,1568
Bexley,2018-05-01,1635
Bexley,2018-06-01,1638
Bexley,2018-07-01,1558
Bexley,2018-08-01,1627
Bexley,2018-09-01,1610
Bexley,2018-10-01,1728
Bexley,2018-11-01,1634
Bexley,2018-12-01,1727
Bexley,2019-01-01,1838
Bexley,2019-02-01,1574
Bexley,2019-03-01,1750
Bexley,2019-04-01,1850
Bexley,2019-05-01,1950
Bexley,2019-06-01,1792
Bexley,2019-07-01,1823
Bexley,2019-08-01,1835
