name,local authority,longitude,latitude,current
HEADQUARTERS,CITY OF LONDON,-0.092041,51.515436,NO PUBLIC ACCESS
WOOD STREET POLICE STATION,CITY OF LONDON,-0.093729,51.516665,DAY TIME
BISHOPSGATE POLICE STATION,CITY OF LONDON,-0.079962,51.517712,24HRS
SNOW HILL POLICE STATION,CITY OF LONDON,-0.102771,51.517074,NO PUBLIC ACCESS
BARKING LEARNING ANNEX,BARKING & DAGENHAM,0.080059,51.537449,24HR
MARKS GATE POLICE OFFICE,BARKING & DAGENHAM,0.137554,51.583589,DAY TIME
DAGENHAM POLICE STATION,BARKING & DAGENHAM,0.165429714,51.54503345,24HR
BARKING POLICE STATION,BARKING & DAGENHAM,0.08008995,51.53834435,24HR
COLINDALE POLICE STATION,BARNET,-0.240914186,51.59677949,24HR
WHETSTONE POLICE STATION,BARNET,-0.1741552,51.6268572,DAY TIME
BARNET POLICE STATION,BARNET,-0.198299,51.6525188,DAY TIME
GOLDERS GREEN POLICE STATION,BARNET,-0.234993429,51.60164221,DAY TIME
BEXLEYHEATH POLICE STATION,BEXLEY,0.149214299,51.45695245,24HR
MARLOWE HOUSE,BEXLEY,0.10183,51.433706,VOLUNTEER
BELVEDERE POLICE STATION,BEXLEY,0.1481269,51.4849046,VOLUNTEER
WEMBLEY POLICE STATION,BRENT,-0.305709699,51.55151622,24HR
KILBURN POLICE STATION,BRENT,-0.205230993,51.53483068,24HR
HARLESDEN POLICE STATION,BRENT,-0.2542654,51.5412524,DAY TIME
WILLESDEN GREEN POLICE STATION,BRENT,-0.230742713,51.54715849,DAY TIME
BROMLEY POLICE STATION,BROMLEY,0.017774578,51.39940111,24HR
COPPERFIELD HOUSE,BROMLEY,-0.017482067,51.4068605,DAY TIME
BIGGIN HILL AIRPORT,BROMLEY,0.038666,51.308469,DAY TIME
WEST WICKHAM POLICE OFFICE,BROMLEY,-0.015565,51.375707,VOLUNTEER
ORPINGTON POLICE STATION,BROMLEY,0.1003208,51.375028,VOLUNTEER
